feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
human_presence,Attention_T2B,1.1625630544699672,3226,1465,**,0.004119486268802919,0.07434192375349707,58.66203542662116,59.82459848109113,multiple_testing_risk,Global,Global
human_presence,Persuasion_T2B,1.420797566550791,3226,1465,**,0.0043234309837379805,0.0836959431592637,54.032670102389076,55.45346766893987,multiple_testing_risk,Global,Global
human_presence,Likeability_Love_Like_T2B,2.165152768504197,3226,1465,***,6.118859941718521e-05,0.12485660572355672,54.84800293515358,57.01315570365778,multiple_testing_risk,Global,Global
human_presence,SCD_score,0.6819361279438274,3071,1337,ns,0.46784218102777564,0.02705410487067086,49.443133881824984,50.12507000976881,multiple_testing_risk,Global,Global
food_presence,Attention_T2B,2.277559976276189,1110,3581,***,7.217688748565107e-06,0.1438108106010896,58.92260605975984,61.20016603603603,multiple_testing_risk,Global,Global
food_presence,Persuasion_T2B,3.849329702911508,1110,3581,***,2.598955247814417e-11,0.22694774301118795,54.098911197989395,57.948240900900906,multiple_testing_risk,Global,Global
food_presence,Likeability_Love_Like_T2B,4.001831687082225,1110,3581,***,2.7492168975360563e-11,0.23015008237216725,55.39005146607092,59.391883153153145,multiple_testing_risk,Global,Global
food_presence,SCD_score,4.131406176411229,1068,3340,***,3.257016317822791e-06,0.16591550923712944,48.917245508982035,53.04865168539327,multiple_testing_risk,Global,Global
product_presence,Attention_T2B,1.0442069534876475,2627,2064,**,0.005190335550006307,0.06601215917709358,58.87676506782945,59.9209720213171,multiple_testing_risk,Global,Global
product_presence,Persuasion_T2B,2.0205400791534323,2627,2064,***,3.1146685615322446e-05,0.11810369685579308,53.87823270348837,55.89877278264181,multiple_testing_risk,Global,Global
product_presence,Likeability_Love_Like_T2B,1.9490517218885284,2627,2064,***,7.460174279932477e-05,0.11163641390427347,55.2454925872093,57.19454430909783,multiple_testing_risk,Global,Global
product_presence,SCD_score,2.356152437355119,2517,1891,**,0.002333998923238974,0.09367232446892348,48.57285034373348,50.92900278108859,multiple_testing_risk,Global,Global
animatics_cartoons_presence,Attention_T2B,-5.107416239004825,84,4607,*,0.048692150788319136,-0.2671897438273372,59.55298647710007,54.44557023809524,multiple_testing_risk,Global,Global
animatics_cartoons_presence,Persuasion_T2B,-4.369497735847128,84,4607,*,0.022161083557931,-0.2281689237127764,55.08799535489474,50.71849761904761,multiple_testing_risk,Global,Global
animatics_cartoons_presence,Likeability_Love_Like_T2B,-3.3240361701137977,84,4607,ns,0.16316947875483812,-0.16018626232292804,56.39650045582808,53.07246428571428,multiple_testing_risk,Global,Global
animatics_cartoons_presence,SCD_score,-1.4162842934948017,82,4326,ns,0.5728647573540069,-0.05228775469346227,49.94457697642163,48.528292682926825,multiple_testing_risk,Global,Global
animals_and_pets_presence,Attention_T2B,3.946768105148468,269,4422,***,0.00012612038099152402,0.2563258303549649,59.23520698778834,63.1819750929368,multiple_testing_risk,Global,Global
animals_and_pets_presence,Persuasion_T2B,1.4275990069086752,269,4422,ns,0.24139447470025122,0.08619594799196707,54.927888353686114,56.35548736059479,multiple_testing_risk,Global,Global
animals_and_pets_presence,Likeability_Love_Like_T2B,5.757096028391329,269,4422,***,2.9348896177707756e-07,0.3458853856492463,56.006844120307555,61.76394014869888,multiple_testing_risk,Global,Global
animals_and_pets_presence,SCD_score,8.719776024626691,254,4154,***,2.864713039623319e-07,0.3451069155341421,49.415775156475675,58.135551181102365,multiple_testing_risk,Global,Global
indoors,Attention_T2B,3.510971946068153,1673,3018,***,1.749416369340865e-13,0.22306797624742872,58.20937551358516,61.72034745965331,multiple_testing_risk,Global,Global
indoors,Persuasion_T2B,3.2236169524989977,1673,3018,***,5.320348602007223e-10,0.18861806047587273,53.86008041749503,57.08369736999403,multiple_testing_risk,Global,Global
indoors,Likeability_Love_Like_T2B,4.399980535713799,1673,3018,***,5.952120758863813e-16,0.2539010481746677,54.76776746189529,59.16774799760909,multiple_testing_risk,Global,Global
indoors,SCD_score,2.5575388452292347,1605,2803,***,0.0008839037528043878,0.1018260351143939,48.98700321084553,51.54454205607476,multiple_testing_risk,Global,Global
outdoors,Attention_T2B,3.336294716292787,734,3957,***,2.538503873484672e-08,0.21037936098310567,58.939500379075064,62.27579509536785,multiple_testing_risk,Global,Global
